,Name,Year,Selling_Price,Km_Driven,Fuel,Seller_Type,Transmission,Owner,Brand,Model,Km_Driven_log,Selling_Price_log,Car_Age
58,Maruti Swift ZDi BSIV,2016,665000,46000,Diesel,Dealer,Manual,First Owner,Maruti,SwiftZDi,10.736396675471232,13.407542319637992,8
59,Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014,465000,70000,Diesel,Dealer,Manual,First Owner,Hyundai,i202015-2017,11.156250521031495,13.049792684569493,10
60,Maruti Alto LXi,2012,160000,60000,Petrol,Individual,Manual,Second Owner,Maruti,AltoLXi,11.002099841204238,11.982929094215963,12
61,Mahindra Jeep CL 500 MDI,1996,250000,35000,Diesel,Individual,Manual,Second Owner,Mahindra,JeepCL,10.46310334047155,12.429216196844383,28
62,Honda City i DTEC VX,2014,675000,90000,Diesel,Dealer,Manual,First Owner,Honda,Cityi,11.407564949312402,13.422467969854667,10
63,Maruti Wagon R VXI BS IV,2013,300000,80000,Petrol,Dealer,Manual,First Owner,Maruti,WagonR,11.289781913656018,12.611537753638338,11
64,Tata Indica DLS,2005,70000,80000,Diesel,Individual,Manual,First Owner,Tata,IndicaDLS,11.289781913656018,11.156250521031495,19
65,Hyundai EON Magna Plus,2014,240000,73300,Petrol,Dealer,Manual,Second Owner,Hyundai,EONMagna,11.202315887874743,12.388394202324129,10
66,Toyota Etios GD,2014,525000,92000,Diesel,Dealer,Manual,First Owner,Toyota,EtiosGD,11.429543856031177,13.17115354157376,10
67,Maruti Alto LXi,2009,151000,66764,Petrol,Dealer,Manual,Second Owner,Maruti,AltoLXi,11.108919292098308,11.925035115797062,15
68,Maruti Alto LXi,2009,140000,100000,Petrol,Individual,Manual,First Owner,Maruti,AltoLXi,11.512925464970229,11.84939770159144,15
71,Mahindra Scorpio 1.99 S6 Plus,2017,570000,60000,Diesel,Individual,Manual,First Owner,Mahindra,Scorpio1.99,11.002099841204238,13.253391639810733,7
72,Hyundai EON Magna Plus,2018,300000,31000,Petrol,Individual,Manual,First Owner,Hyundai,EONMagna,10.341742483467284,12.611537753638338,6
73,Tata Indigo Classic Dicor,2007,100000,39000,Diesel,Individual,Manual,First Owner,Tata,IndigoClassic,10.571316925111784,11.512925464970229,17
76,Maruti Swift 1.3 VXi,2006,130000,110000,Petrol,Individual,Manual,Third Owner,Maruti,Swift1.3,11.608235644774552,11.77528972943772,18
78,Maruti Ciaz 1.3 Delta,2018,750000,60000,Diesel,Individual,Manual,First Owner,Maruti,Ciaz1.3,11.002099841204238,13.527828485512494,6
79,Honda Civic 1.8 V AT,2007,200000,54000,Petrol,Individual,Automatic,Second Owner,Honda,Civic1.8,10.896739325546411,12.206072645530174,17
80,Hyundai i10 Sportz 1.2,2010,248000,63000,Petrol,Individual,Manual,Second Owner,Hyundai,i10Sportz,11.05089000537367,12.421184025147118,14
83,Nissan Terrano XL,2014,650000,76000,Petrol,Individual,Manual,Second Owner,Nissan,TerranoXL,11.238488619268468,13.38472764187182,10
84,Hyundai Grand i10 CRDi Sportz,2015,450000,80000,Diesel,Individual,Manual,First Owner,Hyundai,Grandi10,11.289781913656018,13.017002861746503,9
85,Hyundai Elite i20 Diesel Era,2019,650000,25000,Diesel,Individual,Manual,First Owner,Hyundai,Elitei20,10.126631103850338,13.38472764187182,5
86,Honda Amaze S i-VTEC,2016,495000,11958,Petrol,Dealer,Manual,First Owner,Honda,AmazeS,9.38915578944085,13.112313041550827,8
87,Honda Brio S MT,2015,371000,20000,Petrol,Dealer,Manual,First Owner,Honda,BrioS,9.903487552536127,12.823957341589573,9
90,Mahindra XUV500 W8 2WD,2015,750000,70000,Diesel,Individual,Manual,First Owner,Mahindra,XUV500W8,11.156250521031495,13.527828485512494,9
92,Hyundai Santro Xing XO,2007,80000,58000,Petrol,Dealer,Manual,Second Owner,Hyundai,SantroXing,10.968198289528557,11.289781913656018,17
93,Mahindra Bolero 2011-2019 SLE,2013,325000,62200,Diesel,Dealer,Manual,First Owner,Mahindra,Bolero2011-2019,11.03811027872727,12.691580461311874,11
95,Fiat Avventura MULTIJET Emotion,2015,350000,53000,Diesel,Individual,Manual,Second Owner,Fiat,AvventuraMULTIJET,10.87804719253426,12.765688433465597,9
97,Datsun RediGO 1.0 S,2017,210000,15000,Petrol,Dealer,Manual,Second Owner,Datsun,RediGO1.0,9.615805480084347,12.254862809699606,7
98,Volkswagen Jetta 1.4 TSI Comfortline,2013,450000,50000,Petrol,Individual,Manual,First Owner,Volkswagen,Jetta1.4,10.819778284410283,13.017002861746503,11
100,Honda Civic 1.8 V AT,2009,210000,63500,Petrol,Dealer,Automatic,First Owner,Honda,Civic1.8,11.058795184880783,12.254862809699606,15
104,Maruti SX4 Zxi BSIII,2008,175000,29173,Petrol,Dealer,Manual,First Owner,Maruti,SX4Zxi,10.280998902962642,12.072541252905651,16
107,Hyundai Sonata CRDi M/T,2010,600000,100000,Diesel,Individual,Manual,First Owner,Hyundai,SonataCRDi,11.512925464970229,13.304684934198283,14
108,Nissan Micra Active XV Petrol,2017,399000,30000,Petrol,Individual,Manual,First Owner,Nissan,MicraActive,10.308952660644293,12.896716695872,7
109,Mahindra Xylo D4,2018,750000,87000,Diesel,Individual,Manual,First Owner,Mahindra,XyloD4,11.37366339763672,13.527828485512494,6
110,Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019,750000,15000,Petrol,Individual,Manual,First Owner,Hyundai,Elitei20,9.615805480084347,13.527828485512494,5
111,Renault KWID RXT,2017,315000,16000,Petrol,Individual,Manual,First Owner,Renault,KWIDRXT,9.680344001221918,12.66032791780777,7
112,Mahindra Xylo E4 BS III,2012,600000,60000,Diesel,Individual,Manual,First Owner,Mahindra,XyloE4,11.002099841204238,13.304684934198283,12
113,Maruti Wagon R LXI Minor,2010,100000,60000,Petrol,Individual,Manual,Fourth & Above Owner,Maruti,WagonR,11.002099841204238,11.512925464970229,14
114,Maruti SX4 ZXI MT BSIV,2011,250000,110000,Petrol,Individual,Manual,Third Owner,Maruti,SX4ZXI,11.608235644774552,12.429216196844383,13
115,Renault KWID RXT,2017,350000,25000,Petrol,Individual,Manual,First Owner,Renault,KWIDRXT,10.126631103850338,12.765688433465597,7
116,Hyundai Creta 1.4 CRDi S,2016,780000,60000,Diesel,Individual,Manual,First Owner,Hyundai,Creta1.4,11.002099841204238,13.567049198665774,8
117,Maruti Swift Dzire VDI,2014,434000,79350,Diesel,Individual,Manual,Second Owner,Maruti,SwiftDzire,11.281623725954555,12.980799813082541,10
118,Hyundai Verna 1.6 VTVT AT S Option,2016,690000,80000,Petrol,Individual,Automatic,First Owner,Hyundai,Verna1.6,11.289781913656018,13.444446876573442,8
119,Mahindra Scorpio LX BSIV,2014,555000,90000,Diesel,Individual,Manual,Second Owner,Mahindra,ScorpioLX,11.407564949312402,13.226723392728571,10
120,Maruti SX4 Vxi BSIII,2007,120000,90000,Petrol,Individual,Manual,Second Owner,Maruti,SX4Vxi,11.407564949312402,11.695247021764184,17
122,Chevrolet Beat Diesel,2013,165000,60000,Diesel,Individual,Manual,Second Owner,Chevrolet,BeatDiesel,11.002099841204238,12.013700752882718,11
123,Maruti Zen LX,2004,95000,50000,Petrol,Individual,Manual,First Owner,Maruti,ZenLX,10.819778284410283,11.461632170582678,20
124,Maruti Baleno Delta 1.2,2018,550000,20000,Petrol,Individual,Manual,First Owner,Maruti,BalenoDelta,9.903487552536127,13.217673557208654,6
125,Maruti Swift Vdi BSIII,2007,100000,110000,Diesel,Individual,Manual,Fourth & Above Owner,Maruti,SwiftVdi,11.608235644774552,11.512925464970229,17
126,Tata Nano Lx BSIV,2012,100000,50000,Petrol,Individual,Manual,Second Owner,Tata,NanoLx,10.819778284410283,11.512925464970229,12
127,Toyota Innova 2.5 GX (Diesel) 8 Seater,2012,500000,100000,Diesel,Individual,Manual,First Owner,Toyota,Innova2.5,11.512925464970229,13.122363377404328,12
130,Honda Amaze S i-Vtech,2016,490000,50000,Petrol,Individual,Manual,First Owner,Honda,AmazeS,10.819778284410283,13.102160670086809,8
131,Tata Indica Vista Aqua 1.4 TDI,2010,125000,81000,Diesel,Individual,Manual,Second Owner,Tata,IndicaVista,11.302204433654575,11.736069016284437,14
134,Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015,530000,14272,Petrol,Dealer,Manual,First Owner,Ford,FigoAspire,9.566054854819791,13.180632285528304,9
136,Hyundai i10 Sportz 1.1L,2015,229999,40000,Petrol,Individual,Manual,First Owner,Hyundai,i10Sportz,10.596634733096073,12.345830240069793,9
137,Maruti 800 Std,1998,40000,40000,Petrol,Individual,Manual,Fourth & Above Owner,Maruti,800Std,10.596634733096073,10.596634733096073,26
138,Chevrolet Spark 1.0 LS,2012,130000,80000,Petrol,Individual,Manual,First Owner,Chevrolet,Spark1.0,11.289781913656018,11.77528972943772,12
139,Hyundai EON Era Plus,2015,200000,70000,Petrol,Individual,Manual,First Owner,Hyundai,EONEra,11.156250521031495,12.206072645530174,9
140,Tata Indica Vista Aqua TDI BSIII,2011,120000,70000,Diesel,Individual,Manual,First Owner,Tata,IndicaVista,11.156250521031495,11.695247021764184,13
141,Hyundai Santro LP zipPlus,2003,75000,57000,Petrol,Individual,Manual,First Owner,Hyundai,SantroLP,10.950806546816688,11.225243392518447,21
143,Maruti 800 AC BSIII,2005,100000,30000,Petrol,Individual,Manual,First Owner,Maruti,800AC,10.308952660644293,11.512925464970229,19
144,Hyundai EON Era Plus,2013,280000,3240,Petrol,Individual,Manual,Second Owner,Hyundai,EONEra,8.083328608786376,12.542544882151386,11
145,Hyundai i20 Magna 1.2,2015,540000,5000,Petrol,Individual,Manual,First Owner,Hyundai,i20Magna,8.517193191416238,13.199324418540456,9
146,Hyundai i20 1.2 Asta,2018,700000,10000,Petrol,Individual,Manual,First Owner,Hyundai,i201.2,9.210340371976184,13.458835614025542,6
147,Maruti Ciaz VDi Plus,2015,525000,100000,Diesel,Individual,Manual,First Owner,Maruti,CiazVDi,11.512925464970229,13.17115354157376,9
148,Hyundai i20 Asta 1.4 CRDi,2016,430000,80000,Diesel,Individual,Manual,First Owner,Hyundai,i20Asta,11.289781913656018,12.971540487669746,8
149,Hyundai Santro LE,2002,65000,70000,Petrol,Individual,Manual,First Owner,Hyundai,SantroLE,11.156250521031495,11.082142548877775,22
151,Hyundai Santro Xing XL eRLX Euro III,2007,75000,114000,Petrol,Individual,Manual,Second Owner,Hyundai,SantroXing,11.643953727376633,11.225243392518447,17
152,Hyundai Getz 1.3 GLS,2008,210000,53772,Petrol,Individual,Manual,First Owner,Hyundai,Getz1.3,10.892508164574144,12.254862809699606,16
155,Hyundai EON Magna Plus,2012,170000,60000,Petrol,Individual,Manual,First Owner,Hyundai,EONMagna,11.002099841204238,12.043553716032399,12
156,Renault KWID RXT,2016,225000,25000,Petrol,Individual,Manual,First Owner,Renault,KWIDRXT,10.126631103850338,12.323855681186558,8
157,Maruti Wagon R DUO LPG,2014,210000,90000,LPG,Individual,Manual,First Owner,Maruti,WagonR,11.407564949312402,12.254862809699606,10
160,Chevrolet Spark 1.0 LS,2011,99000,100000,Petrol,Individual,Manual,Third Owner,Chevrolet,Spark1.0,11.512925464970229,11.502875129116727,13
161,Honda City i VTEC SV,2014,620000,36000,Petrol,Individual,Manual,First Owner,Honda,Cityi,10.491274217438248,13.337474757021274,10
162,Honda Amaze VX i-DTEC,2013,500000,30000,Diesel,Individual,Manual,First Owner,Honda,AmazeVX,10.308952660644293,13.122363377404328,11
164,Honda Brio E MT,2013,260000,70000,Petrol,Individual,Manual,Second Owner,Honda,BrioE,11.156250521031495,12.468436909997665,11
165,Maruti Swift VVT ZXI,2017,550000,60000,Petrol,Individual,Manual,First Owner,Maruti,SwiftVVT,11.002099841204238,13.217673557208654,7
167,Hyundai i10 Asta AT,2011,350000,50000,Petrol,Individual,Automatic,Second Owner,Hyundai,i10Asta,10.819778284410283,12.765688433465597,13
168,Chevrolet Beat LT,2016,320000,40000,Petrol,Individual,Manual,First Owner,Chevrolet,BeatLT,10.596634733096073,12.676076274775909,8
169,Maruti Swift VDI BSIV,2015,400000,100000,Diesel,Individual,Manual,Third Owner,Maruti,SwiftVDI,11.512925464970229,12.89921982609012,9
170,Maruti Alto LXi,2012,175000,80000,Petrol,Individual,Manual,Third Owner,Maruti,AltoLXi,11.289781913656018,12.072541252905651,12
171,Chevrolet Beat LT,2011,120000,90000,Petrol,Individual,Manual,Second Owner,Chevrolet,BeatLT,11.407564949312402,11.695247021764184,13
172,Renault Duster 110PS Diesel RxZ,2013,320000,90000,Diesel,Individual,Manual,Second Owner,Renault,Duster110PS,11.407564949312402,12.676076274775909,11
173,Hyundai Santro Xing XG,2006,70000,110000,Petrol,Individual,Manual,Third Owner,Hyundai,SantroXing,11.608235644774552,11.156250521031495,18
175,Maruti 800 AC,2007,95000,100000,Petrol,Individual,Manual,Second Owner,Maruti,800AC,11.512925464970229,11.461632170582678,17
176,Maruti Alto K10 LXI CNG,2020,282000,40000,CNG,Individual,Manual,First Owner,Maruti,AltoK10,10.596634733096073,12.54966234992025,4
177,Maruti 800 Std BSII,2004,80000,60000,Petrol,Individual,Manual,Second Owner,Maruti,800Std,11.002099841204238,11.289781913656018,20
178,Tata Nano LX SE,2013,72000,25000,Petrol,Individual,Manual,First Owner,Tata,NanoLX,10.126631103850338,11.184421397998193,11
179,Hyundai i20 Magna 1.2,2016,600000,25000,Petrol,Individual,Manual,First Owner,Hyundai,i20Magna,10.126631103850338,13.304684934198283,8
180,Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,2015,640000,23000,Petrol,Individual,Manual,First Owner,Skoda,Rapid1.6,10.043249494911286,13.369223455335854,9
181,Maruti Alto K10 VXI,2018,380000,22155,Petrol,Individual,Manual,First Owner,Maruti,AltoK10,10.00581848363359,12.84792653170257,6
182,Maruti Ciaz 1.4 Delta,2018,650000,70000,Petrol,Individual,Manual,First Owner,Maruti,Ciaz1.4,11.156250521031495,13.38472764187182,6
183,Maruti Alto LX,2009,150000,60000,Petrol,Individual,Manual,Second Owner,Maruti,AltoLX,11.002099841204238,11.918390573078392,15
184,Hyundai i20 Asta,2009,280000,110000,Petrol,Individual,Manual,Second Owner,Hyundai,i20Asta,11.608235644774552,12.542544882151386,15
185,Tata Nexon 1.2 Revotron XM,2018,430000,30000,Petrol,Individual,Manual,First Owner,Tata,Nexon1.2,10.308952660644293,12.971540487669746,6
187,Maruti Zen D,2003,75000,100000,Diesel,Individual,Manual,Second Owner,Maruti,ZenD,11.512925464970229,11.225243392518447,21
188,Volkswagen Vento Celeste 1.5 TDI Highline AT,2016,650000,70000,Diesel,Individual,Automatic,First Owner,Volkswagen,VentoCeleste,11.156250521031495,13.38472764187182,8
189,Maruti Eeco 7 Seater Standard BSIV,2017,390000,24000,Petrol,Individual,Manual,First Owner,Maruti,Eeco7,10.085809109330082,12.873902018105829,7
192,Maruti SX4 Zxi with Leather BSIII,2007,175000,78380,Petrol,Individual,Manual,First Owner,Maruti,SX4Zxi,11.269324071753623,12.072541252905651,17
193,Renault Duster 110PS Diesel RxZ,2012,434999,110000,Diesel,Individual,Manual,Second Owner,Renault,Duster110PS,11.608235644774552,12.983099011217604,12
194,Ford Figo Diesel Titanium,2010,170000,90000,Diesel,Individual,Manual,Third Owner,Ford,FigoDiesel,11.407564949312402,12.043553716032399,14
195,Ford Figo Diesel Titanium,2011,190000,90000,Diesel,Individual,Manual,Third Owner,Ford,FigoDiesel,11.407564949312402,12.154779351142624,13
198,Maruti Esteem Vxi - BSIII,2006,140000,70000,Petrol,Individual,Manual,Third Owner,Maruti,EsteemVxi,11.156250521031495,11.84939770159144,18
199,Maruti Swift VDI BSIV,2017,600000,80362,Diesel,Individual,Manual,First Owner,Maruti,SwiftVDI,11.294296706623152,13.304684934198283,7
200,Hyundai i20 1.2 Sportz,2012,280000,110000,Petrol,Individual,Manual,Third Owner,Hyundai,i201.2,11.608235644774552,12.542544882151386,12
201,Chevrolet Beat Diesel LT,2012,150000,60000,Diesel,Individual,Manual,First Owner,Chevrolet,BeatDiesel,11.002099841204238,11.918390573078392,12
202,Chevrolet Cruze LTZ AT,2015,650000,50000,Diesel,Individual,Automatic,First Owner,Chevrolet,CruzeLTZ,10.819778284410283,13.38472764187182,9
203,Nissan Micra XL,2014,210000,40000,Petrol,Individual,Manual,Second Owner,Nissan,MicraXL,10.596634733096073,12.254862809699606,10
205,Chevrolet Enjoy 1.3 TCDi LS 8,2013,425000,20000,Diesel,Dealer,Manual,First Owner,Chevrolet,Enjoy1.3,9.903487552536127,12.959844447906553,11
206,Hyundai EON Era Plus Option,2014,265000,55000,Petrol,Dealer,Manual,First Owner,Hyundai,EONEra,10.915088464214607,12.487485104968359,10
208,Renault Scala RxL,2013,365000,55000,Petrol,Dealer,Manual,First Owner,Renault,ScalaRxL,10.915088464214607,12.80765263256463,11
209,Ford Figo Petrol Titanium,2014,350000,43000,Petrol,Dealer,Manual,First Owner,Ford,FigoPetrol,10.668955394675699,12.765688433465597,10
210,Maruti Ciaz ZDi SHVS,2016,685000,60000,Diesel,Individual,Manual,First Owner,Maruti,CiazZDi,11.002099841204238,13.437174117244362,8
214,Maruti Ertiga SHVS ZDI,2016,450000,115962,Diesel,Individual,Manual,Second Owner,Maruti,ErtigaSHVS,11.661017830213522,13.017002861746503,8
215,Nissan Terrano XE D,2015,590000,65000,Diesel,Dealer,Manual,First Owner,Nissan,TerranoXE,11.082142548877775,13.287877815881902,9
217,Hyundai i20 Magna 1.4 CRDi (Diesel),2012,385000,58000,Diesel,Dealer,Manual,First Owner,Hyundai,i20Magna,10.968198289528557,12.86099861326992,12
219,Hyundai EON Era Plus,2012,235000,54000,Petrol,Dealer,Manual,First Owner,Hyundai,EONEra,10.896739325546411,12.367340793126296,12
220,Volkswagen Ameo 1.5 TDI Highline,2017,640000,56000,Diesel,Dealer,Manual,First Owner,Volkswagen,Ameo1.5,10.933106969717286,13.369223455335854,7
222,Maruti Omni LPG CARGO BSIII W IMMOBILISER,2009,80000,90000,LPG,Individual,Manual,Second Owner,Maruti,OmniLPG,11.407564949312402,11.289781913656018,15
223,Maruti Alto LX,2012,140000,70000,Petrol,Individual,Manual,Second Owner,Maruti,AltoLX,11.156250521031495,11.84939770159144,12
224,Hyundai Verna i (Petrol),2008,120000,90000,Petrol,Individual,Manual,Second Owner,Hyundai,Vernai,11.407564949312402,11.695247021764184,16
228,Hyundai i20 Active 1.2 SX,2017,700000,10000,Petrol,Individual,Manual,First Owner,Hyundai,i20Active,9.210340371976184,13.458835614025542,7
229,Maruti SX4 Celebration Diesel,2012,285000,80000,Diesel,Individual,Manual,Second Owner,Maruti,SX4Celebration,11.289781913656018,12.560244459250788,12
230,Hyundai Grand i10 Magna,2015,390000,90000,Petrol,Individual,Manual,First Owner,Hyundai,Grandi10,11.407564949312402,12.873902018105829,9
231,Maruti Alto LXi BSIII,2008,125000,80000,Petrol,Individual,Manual,First Owner,Maruti,AltoLXi,11.289781913656018,11.736069016284437,16
232,Maruti SX4 Zxi with Leather BSIII,2008,225000,60000,Petrol,Individual,Manual,Second Owner,Maruti,SX4Zxi,11.002099841204238,12.323855681186558,16
239,Chevrolet Beat Diesel LS,2012,220000,100000,Diesel,Individual,Manual,Second Owner,Chevrolet,BeatDiesel,11.512925464970229,12.301382825334498,12
241,Skoda Fabia 1.2L Diesel Ambiente,2010,180000,87000,Diesel,Dealer,Manual,Second Owner,Skoda,Fabia1.2L,11.37366339763672,12.100712129872347,14
242,Maruti 800 Std,2013,170000,70000,Petrol,Individual,Manual,First Owner,Maruti,800Std,11.156250521031495,12.043553716032399,11
243,Ford Figo Petrol Titanium,2015,300000,50000,Petrol,Individual,Manual,Second Owner,Ford,FigoPetrol,10.819778284410283,12.611537753638338,9
246,Hyundai Grand i10 1.2 CRDi Asta,2018,465000,25000,Diesel,Individual,Manual,First Owner,Hyundai,Grandi10,10.126631103850338,13.049792684569493,6
247,Chevrolet Beat Diesel LT,2011,130000,80000,Diesel,Individual,Manual,Second Owner,Chevrolet,BeatDiesel,11.289781913656018,11.77528972943772,13
248,Datsun GO Plus T Option Petrol,2018,434999,10000,Petrol,Individual,Manual,First Owner,Datsun,GOPlus,9.210340371976184,12.983099011217604,6
249,Hyundai Grand i10 1.2 Kappa Asta,2018,500000,32000,Petrol,Individual,Manual,First Owner,Hyundai,Grandi10,10.373491181781864,13.122363377404328,6
250,Maruti Omni MPI STD BSIV,2018,200000,10000,Petrol,Individual,Manual,First Owner,Maruti,OmniMPI,9.210340371976184,12.206072645530174,6
251,Maruti Baleno Alpha 1.2,2017,625000,52000,Petrol,Dealer,Manual,First Owner,Maruti,BalenoAlpha,10.858998997563564,13.345506928718539,7
254,Hyundai Grand i10 CRDi Magna,2017,490000,66000,Diesel,Dealer,Manual,First Owner,Hyundai,Grandi10,11.097410021008562,13.102160670086809,7
256,Hyundai Santro Xing GL Plus,2013,290000,49000,Petrol,Individual,Manual,First Owner,Hyundai,SantroXing,10.799575577092764,12.577636201962656,11
257,Tata Sumo GX TC 7 Str BSIII,2006,115999,100000,Diesel,Individual,Manual,Second Owner,Tata,SumoGX,11.512925464970229,11.661336849361689,18
258,Renault KWID RXT,2018,360000,26500,Petrol,Individual,Manual,First Owner,Renault,KWIDRXT,10.184900011974314,12.793859310432293,6
259,Maruti 800 AC,2002,65000,100000,Petrol,Individual,Manual,Second Owner,Maruti,800AC,11.512925464970229,11.082142548877775,22
260,Maruti Vitara Brezza LDi Option,2017,685000,72000,Diesel,Dealer,Manual,First Owner,Maruti,VitaraBrezza,11.184421397998193,13.437174117244362,7
261,Honda Jazz S,2009,300000,50000,Petrol,Individual,Manual,First Owner,Honda,JazzS,10.819778284410283,12.611537753638338,15
262,Hyundai i20 1.4 Sportz,2017,680000,44000,Diesel,Dealer,Manual,First Owner,Hyundai,i201.4,10.691944912900398,13.42984807715229,7
266,Maruti Swift ZDi BSIV,2017,450000,70000,Diesel,Individual,Manual,First Owner,Maruti,SwiftZDi,11.156250521031495,13.017002861746503,7
267,Maruti Ertiga VXI,2014,600000,20000,Petrol,Individual,Manual,First Owner,Maruti,ErtigaVXI,9.903487552536127,13.304684934198283,10
268,Hyundai i20 1.4 Magna ABS,2009,180000,60000,Diesel,Individual,Manual,Second Owner,Hyundai,i201.4,11.002099841204238,12.100712129872347,15
270,Maruti Alto LXi,2010,120000,90000,Petrol,Individual,Manual,Second Owner,Maruti,AltoLXi,11.407564949312402,11.695247021764184,14
271,Hyundai Getz GL,2006,130000,80000,Petrol,Individual,Manual,Third Owner,Hyundai,GetzGL,11.289781913656018,11.77528972943772,18
274,Hyundai i20 1.2 Spotz,2018,650000,20000,Petrol,Individual,Manual,Second Owner,Hyundai,i201.2,9.903487552536127,13.38472764187182,6
275,Maruti Wagon R LXI Minor,2010,100000,80000,Petrol,Individual,Manual,Second Owner,Maruti,WagonR,11.289781913656018,11.512925464970229,14
276,Maruti Alto 800 VXI,2017,282000,20000,Petrol,Individual,Manual,First Owner,Maruti,Alto800,9.903487552536127,12.54966234992025,7
277,Hyundai i20 Asta (o),2009,300000,50000,Petrol,Individual,Manual,First Owner,Hyundai,i20Asta,10.819778284410283,12.611537753638338,15
278,Hyundai i20 Asta,2010,270000,110000,Petrol,Individual,Manual,Second Owner,Hyundai,i20Asta,11.608235644774552,12.506177237980511,14
279,Hyundai Verna 1.6 SX CRDi (O),2013,550000,29000,Diesel,Individual,Manual,First Owner,Hyundai,Verna1.6,10.275051108968611,13.217673557208654,11
281,Mahindra Bolero SLX 2WD BSIII,2011,430000,70000,Diesel,Individual,Manual,Second Owner,Mahindra,BoleroSLX,11.156250521031495,12.971540487669746,13
282,Maruti Ertiga VXI ABS,2013,350000,40000,Petrol,Individual,Manual,First Owner,Maruti,ErtigaVXI,10.596634733096073,12.765688433465597,11
